"","year","income.elasticity","energy.final.demand","region"
"472",2060,0.629,"transportation","Taiwan"
"473",2065,0.616,"transportation","Taiwan"
"474",2070,0.602,"transportation","Taiwan"
"475",2075,0.587,"transportation","Taiwan"
"476",2080,0.571,"transportation","Taiwan"
"477",2085,0.556,"transportation","Taiwan"
"478",2090,0.541,"transportation","Taiwan"
"479",2095,0.527,"transportation","Taiwan"
"480",2100,0.513,"transportation","Taiwan"
"481",2025,1.25,"transportation","Argentina"
"482",2030,1.25,"transportation","Argentina"
"483",2035,1.238,"transportation","Argentina"
"484",2040,1.165,"transportation","Argentina"
"485",2045,1.078,"transportation","Argentina"
"486",2050,0.975,"transportation","Argentina"
"487",2055,0.858,"transportation","Argentina"
"488",2060,0.803,"transportation","Argentina"
"489",2065,0.741,"transportation","Argentina"
"490",2070,0.693,"transportation","Argentina"
"491",2075,0.675,"transportation","Argentina"
"492",2080,0.656,"transportation","Argentina"
"493",2085,0.635,"transportation","Argentina"
"494",2090,0.613,"transportation","Argentina"
"495",2095,0.589,"transportation","Argentina"
"496",2100,0.563,"transportation","Argentina"
"497",2025,1.25,"transportation","Colombia"
"498",2030,1.25,"transportation","Colombia"
"499",2035,1.25,"transportation","Colombia"
"500",2040,1.25,"transportation","Colombia"
"501",2045,1.25,"transportation","Colombia"
"502",2050,1.25,"transportation","Colombia"
"503",2055,1.234,"transportation","Colombia"
"504",2060,1.121,"transportation","Colombia"
"505",2065,1,"transportation","Colombia"
"506",2070,0.872,"transportation","Colombia"
"507",2075,0.81,"transportation","Colombia"
"508",2080,0.752,"transportation","Colombia"
"509",2085,0.698,"transportation","Colombia"
"510",2090,0.683,"transportation","Colombia"
"511",2095,0.668,"transportation","Colombia"
"512",2100,0.653,"transportation","Colombia"
