"region","supplysector","tranSubsector","year","sce","base.service"
"Australia_NZ","trn_pass_urban","Walk",2015,"CORE",12024
"Australia_NZ","trn_pass_urban","Walk",2021,"CORE",13141
"Australia_NZ","trn_pass_road_urban","Bus",1975,"CORE",4669.84608026367
"Australia_NZ","trn_pass_road_urban","Bus",1990,"CORE",8491.0174870379
"Australia_NZ","trn_pass_road_urban","Bus",2005,"CORE",10481.9539273647
"Australia_NZ","trn_pass_road_urban","Bus",2010,"CORE",11301.0920430639
"Australia_NZ","trn_pass_road_urban","Bus",2015,"CORE",12359.9549296952
"Australia_NZ","trn_pass_road_urban","Bus",2021,"CORE",11466.940773867
"Australia_NZ","trn_pass_road_LDV_urban","2W and 3W",1975,"CORE",1031.05262862272
"Australia_NZ","trn_pass_road_LDV_urban","2W and 3W",1990,"CORE",1610.63296535036
"Australia_NZ","trn_pass_road_LDV_urban","2W and 3W",2005,"CORE",2125.12790133468
"Australia_NZ","trn_pass_road_LDV_urban","2W and 3W",2010,"CORE",2327.90512462027
"Australia_NZ","trn_pass_road_LDV_urban","2W and 3W",2015,"CORE",2522.92891676286
"Australia_NZ","trn_pass_road_LDV_urban","2W and 3W",2021,"CORE",2572.6660481803
"Australia_NZ","trn_pass_road_LDV_4W_urban","Car",1975,"CORE",23084.3774595182
"Australia_NZ","trn_pass_road_LDV_4W_urban","Car",1990,"CORE",36061.3928006955
"Australia_NZ","trn_pass_road_LDV_4W_urban","Car",2005,"CORE",47579.5405794611
"Australia_NZ","trn_pass_road_LDV_4W_urban","Car",2010,"CORE",52118.5541429947
"Australia_NZ","trn_pass_road_LDV_4W_urban","Car",2015,"CORE",56484.0286033474
"Australia_NZ","trn_pass_road_LDV_4W_urban","Car",2021,"CORE",57595.7790878364
"Australia_NZ","trn_pass_road_LDV_4W_urban","Large Car and Truck",1975,"CORE",53497.4765583179
"Australia_NZ","trn_pass_road_LDV_4W_urban","Large Car and Truck",1990,"CORE",83571.3402562717
"Australia_NZ","trn_pass_road_LDV_4W_urban","Large Car and Truck",2005,"CORE",110264.436247657
"Australia_NZ","trn_pass_road_LDV_4W_urban","Large Car and Truck",2010,"CORE",120785.863156746
"Australia_NZ","trn_pass_road_LDV_4W_urban","Large Car and Truck",2015,"CORE",130905.669413581
"Australia_NZ","trn_pass_road_LDV_4W_urban","Large Car and Truck",2021,"CORE",133485.543333319
"Brazil","trn_pass_urban","Cycle",1975,"CORE",8659
"Brazil","trn_pass_urban","Cycle",1990,"CORE",12005
"Brazil","trn_pass_urban","Cycle",2005,"CORE",14880
"Brazil","trn_pass_urban","Cycle",2010,"CORE",15641
"Brazil","trn_pass_urban","Cycle",2015,"CORE",16345
"Brazil","trn_pass_urban","Cycle",2021,"CORE",17073
"Brazil","trn_pass_urban","Passenger Rail",1975,"CORE",2384.94567962424
"Brazil","trn_pass_urban","Passenger Rail",1990,"CORE",3858.14557929556
"Brazil","trn_pass_urban","Passenger Rail",2005,"CORE",4844.55893303053
"Brazil","trn_pass_urban","Passenger Rail",2010,"CORE",6752.09003393475
"Brazil","trn_pass_urban","Passenger Rail",2015,"CORE",8378.57510942635
"Brazil","trn_pass_urban","Passenger Rail",2021,"CORE",8494.83121930085
"Brazil","trn_pass_urban","Walk",1975,"CORE",13733
"Brazil","trn_pass_urban","Walk",1990,"CORE",19040
"Brazil","trn_pass_urban","Walk",2005,"CORE",23600
"Brazil","trn_pass_urban","Walk",2010,"CORE",24807
"Brazil","trn_pass_urban","Walk",2015,"CORE",25924
"Brazil","trn_pass_urban","Walk",2021,"CORE",27078
"Brazil","trn_pass_road_urban","Bus",1975,"CORE",69317.1298036444
"Brazil","trn_pass_road_urban","Bus",1990,"CORE",108393.737411111
"Brazil","trn_pass_road_urban","Bus",2005,"CORE",171319.37836281
"Brazil","trn_pass_road_urban","Bus",2010,"CORE",229605.169269918
"Brazil","trn_pass_road_urban","Bus",2015,"CORE",282051.699978155
"Brazil","trn_pass_road_urban","Bus",2021,"CORE",288925.23746518
"Brazil","trn_pass_road_LDV_urban","2W and 3W",1975,"CORE",39999.0011712768
"Brazil","trn_pass_road_LDV_urban","2W and 3W",1990,"CORE",62548.0270592422
"Brazil","trn_pass_road_LDV_urban","2W and 3W",2005,"CORE",98858.8246712689
"Brazil","trn_pass_road_LDV_urban","2W and 3W",2010,"CORE",137565.255349444
"Brazil","trn_pass_road_LDV_urban","2W and 3W",2015,"CORE",175718.189049963
"Brazil","trn_pass_road_LDV_urban","2W and 3W",2021,"CORE",188721.118905179
"Brazil","trn_pass_road_LDV_4W_urban","Car",1975,"CORE",52997.380006286
"Brazil","trn_pass_road_LDV_4W_urban","Car",1990,"CORE",82891.7759272826
"Brazil","trn_pass_road_LDV_4W_urban","Car",2005,"CORE",146235.3679105
"Brazil","trn_pass_road_LDV_4W_urban","Car",2010,"CORE",198595.335202864
"Brazil","trn_pass_road_LDV_4W_urban","Car",2015,"CORE",247714.334483051
"Brazil","trn_pass_road_LDV_4W_urban","Car",2021,"CORE",269191.75306327
"Brazil","trn_pass_road_LDV_4W_urban","Large Car and Truck",1975,"CORE",15955.2579145039
"Brazil","trn_pass_road_LDV_4W_urban","Large Car and Truck",1990,"CORE",24952.1940897684
"Brazil","trn_pass_road_LDV_4W_urban","Large Car and Truck",2005,"CORE",41482.9703469524
"Brazil","trn_pass_road_LDV_4W_urban","Large Car and Truck",2010,"CORE",57067.0793859912
"Brazil","trn_pass_road_LDV_4W_urban","Large Car and Truck",2015,"CORE",72093.4646002281
"Brazil","trn_pass_road_LDV_4W_urban","Large Car and Truck",2021,"CORE",77851.0902358941
"Brazil","trn_pass_road_LDV_4W_urban","Mini Car",1975,"CORE",46944.5921996548
"Brazil","trn_pass_road_LDV_4W_urban","Mini Car",1990,"CORE",73416.027130155
"Brazil","trn_pass_road_LDV_4W_urban","Mini Car",2005,"CORE",122053.821890203
"Brazil","trn_pass_road_LDV_4W_urban","Mini Car",2010,"CORE",167906.372531972
"Brazil","trn_pass_road_LDV_4W_urban","Mini Car",2015,"CORE",212118.063016088
"Brazil","trn_pass_road_LDV_4W_urban","Mini Car",2021,"CORE",229058.496867455
"Canada","trn_pass_urban","Cycle",1975,"CORE",1253
"Canada","trn_pass_urban","Cycle",1990,"CORE",1498
